s,g(s)
0.,0.1415573866599661
0.01,0.1417230072232437
0.02,0.14222267851511644
0.03,0.14306486475668523
0.04,0.1442639936641417
0.05,0.14584086108325278
0.06,0.1478234060303391
0.07,0.1502476775380594
0.08,0.15315936491762852
0.09,0.15661568648769567
0.1,0.16068817385576414
0.11,0.16546610817820687
0.12,0.1710614237193354
0.13,0.17761446555497695
0.14,0.18530152114653062
0.15,0.19434392497407676
0.16,0.20502240072886257
0.17,0.2176957459076486
0.18,0.2328226744867956
0.19,0.2509658140984908
0.2,0.2727151277913744
0.21,0.2983051081259955
0.22,0.32638564134945985
0.23,0.3516689706952501
0.24,0.3648782102220633
0.25,0.3616445046250877
0.26,0.34862293556541335
0.27,0.3339294347154404
0.28,0.3205918332038683
0.29,0.30863937017680015
0.3,0.2974952599307806
0.31,0.2867432832255206
0.32,0.2761762730772623
0.33,0.2657123386527481
0.34,0.2553310503448563
0.35000000000000003,0.24503769252435337
0.36,0.23484750234712695
0.37,0.2247787853040645
0.38,0.2148502946669004
0.39,0.20508021034144325
0.4,0.1954857499296947
0.41000000000000003,0.18608302330493642
0.42,0.17688694302446697
0.43,0.16791118804043656
0.44,0.15916815155861022
0.45,0.15066892364557652
0.46,0.14242325296917063
0.47000000000000003,0.13443954458900673
0.48,0.12672483863318879
0.49,0.11928482669782811
0.5,0.1121238508541636
0.51,0.10524494025681598
0.52,0.09864983156764609
0.53,0.09233902497261318
0.54,0.08631182484895289
0.55,0.08056641237372049
0.56,0.07509990342480762
0.5700000000000001,0.06990843351290094
0.58,0.06498722865864921
0.59,0.060330697550050896
0.6,0.055932510469727664
0.61,0.05178569352899409
0.62,0.047882710612005025
0.63,0.04421555488104431
0.64,0.04077582926134397
0.65,0.03755483120601958
0.66,0.03454362802208441
0.67,0.031733131954721716
0.68,0.029114167641653543
0.6900000000000001,0.02667753570571536
0.7000000000000001,0.02441407058233549
0.71,0.022314691943122446
0.72,0.02037045214220029
0.73,0.01857257539440481
0.74,0.01691249504136662
0.75,0.015381881256885851
0.76,0.013972668637129747
0.77,0.012677073720986094
0.78,0.011487613888087542
0.79,0.01039711616940779
0.8,0.009398728665010401
0.81,0.008485922208150575
0.8200000000000001,0.007652495593374031
0.8300000000000001,0.006892571615816701
0.84,0.006200597369365887
0.85,0.0055713360799252674
0.86,0.004999863625526292
0.87,0.0044815574044942
0.88,0.004012090110479066
0.89,0.003587416682566818
0.9,0.0032037662095783614
0.91,0.002857627822754879
0.92,0.0025457414495397572
0.93,0.002265083329329029
0.9400000000000001,0.0020128561917316266
0.9500000000000001,0.0017864749165637506
0.96,0.0015835565830530657
0.97,0.0014019066539927912
0.98,0.00123950922893097
0.99,0.001094514029609758
1.,0.000965227068090994
