t,Lmu
0.,0.9999999320428085
0.01,0.9955658116853102
0.02,0.9911673637722341
0.03,0.9867680581712882
0.04,0.9823725032459552
0.05,0.9779858510408592
0.06,0.9735998792286111
0.07,0.9692145224478541
0.08,0.9648299810429054
0.09,0.9604462671472151
0.1,0.9560634156327431
0.11,0.9516814776504413
0.12,0.9473004840482141
0.13,0.9429204869341411
0.14,0.9385415364518871
0.15,0.9341636779565027
0.16,0.9297869651386064
0.17,0.9254114575483682
0.18,0.921037200496802
0.19,0.9166642593608935
0.2,0.9122927145297597
0.21,0.9079225735649634
0.22,0.9035539761103535
0.23,0.8991869763180707
0.24,0.8948215442789523
0.25,0.8904578492804952
0.26,0.8860959459221607
0.27,0.8817359322703655
0.28,0.8773779367561804
0.29,0.8730219610728422
0.3,0.8686680243532016
0.31,0.8643164760654124
0.32,0.8599671220979209
0.33,0.8556201844014997
0.34,0.8512759228140729
0.35000000000000003,0.8469342362384361
0.36,0.8425950930749843
0.37,0.8382589206579925
0.38,0.8339258898501152
0.39,0.8295956684734065
0.4,0.8252687546143105
0.41000000000000003,0.820945349033757
0.42,0.8166251898820532
0.43,0.8123086980572103
0.44,0.8079960715722052
0.45,0.8036872111558224
0.46,0.7993824014262981
0.47000000000000003,0.7950819937966497
0.48,0.7907853837198408
0.49,0.7864927976098199
0.5,0.782205742853113
0.51,0.7779243342703377
0.52,0.7736473195719026
0.53,0.7693743391889719
0.54,0.7651086587301444
0.55,0.7608477200669342
0.56,0.7565909217644426
0.5700000000000001,0.7523429362885545
0.58,0.7481000241788062
0.59,0.743861116277671
0.6,0.7396323362755548
0.61,0.7354095317782423
0.62,0.7311904635764108
0.63,0.7269824710644767
0.64,0.7227818500102137
0.65,0.71858481019252
0.66,0.7143993518134457
0.67,0.7102229329366487
0.68,0.7060502435705768
0.6900000000000001,0.7018893270996707
0.7000000000000001,0.6977391053713209
0.71,0.6935930657959855
0.72,0.6894590830690647
0.73,0.6853370044326568
0.74,0.6812196718248855
0.75,0.6770984652056168
0.76,0.6729578329209037
0.77,0.6688460831573364
0.78,0.6647370442791593
0.79,0.6606443424866707
0.8,0.6565661148858613
0.81,0.6524968762916789
0.8200000000000001,0.6484395535032282
0.8300000000000001,0.6443953864491344
0.84,0.6403639954797743
0.85,0.6363453660335596
0.86,0.632339903309843
0.87,0.628348013086642
0.88,0.6243699926539064
0.89,0.6204061026077206
0.9,0.6164566199744849
0.91,0.6125218385155622
0.92,0.6086020531391815
0.93,0.6046975524103214
0.9400000000000001,0.600808619412499
0.9500000000000001,0.5969355340507312
0.96,0.5931182443617453
0.97,0.5892824573279316
0.98,0.5854747244709723
0.99,0.5816722876253192
1.,0.5778993061284904
1.01,0.5741305516529327
1.02,0.5703933289057981
1.03,0.5666592762129267
1.04,0.5629588018878788
1.05,0.5592604365916287
1.06,0.5555976621584886
1.07,0.5519359374582886
1.08,0.5483117750012023
1.09,0.5446876073469472
1.1,0.5411029277021727
1.11,0.537517192640261
1.12,0.5339728229295543
1.1300000000000001,0.530426351291275
1.1400000000000001,0.5269287434432726
1.1500000000000001,0.5234540591244385
1.16,0.5200025728947137
1.17,0.5165716495939838
1.18,0.5131592902769385
1.19,0.5097685309556054
1.2,0.5063988303830601
1.21,0.5030502464555591
1.22,0.4997229072350285
1.23,0.49641693552685917
1.24,0.49313244558548625
1.25,0.4898695446170321
1.26,0.4866283211639694
1.27,0.48340885533140493
1.28,0.4802112680574033
1.29,0.47703563224019635
1.3,0.47388201061277996
1.31,0.470750470419018
1.32,0.4676410775814775
1.33,0.4645538774425172
1.34,0.461488878569942
1.35,0.4584462038100307
1.36,0.4554258600613425
1.37,0.4524277696813318
1.3800000000000001,0.44945204473402045
1.3900000000000001,0.4464987566228581
1.4000000000000001,0.4435678178317981
1.41,0.4406592516006835
1.42,0.43777303828590436
1.43,0.4349090918781995
1.44,0.43206752142117016
1.45,0.4292483242204537
1.46,0.4264514052729464
1.47,0.42367669934304125
1.48,0.42092420958058246
1.49,0.4181939676459961
1.5,0.41548577446010304
1.51,0.41279953263286623
1.52,0.4101353313177057
1.53,0.4074930836255733
1.54,0.4048726850449383
1.55,0.40227402131210155
1.56,0.3996970427276111
1.57,0.3971417004167217
1.58,0.39460794601769167
1.59,0.39209570594097065
1.6,0.3896047120880613
1.61,0.3871350704613047
1.62,0.38468659253067644
1.6300000000000001,0.38225919773568234
1.6400000000000001,0.3798527228007384
1.6500000000000001,0.37746703014926763
1.6600000000000001,0.3751021266239104
1.67,0.3727579450852495
1.68,0.37043426987563094
1.69,0.3681309132652293
1.7,0.3658478088021962
1.71,0.36358491342991106
1.72,0.3613421017785288
1.73,0.35911918755796934
1.74,0.35691601387527244
1.75,0.3547324847683204
1.76,0.3525685070855888
1.77,0.35042394086451945
1.78,0.34829863448708814
1.79,0.3461923426425451
1.8,0.3441042094227523
1.81,0.3420367153541707
1.82,0.3399819104645606
1.83,0.33794213720260347
1.84,0.33592474569875796
1.85,0.3339220903100378
1.86,0.33194175353450944
1.87,0.32997552355421533
1.8800000000000001,0.32803167727827626
1.8900000000000001,0.3261013159982987
1.9000000000000001,0.32419339112840106
1.9100000000000001,0.32229834112816763
1.92,0.3204257655297762
1.93,0.31856546963724924
1.94,0.31672766981820866
1.95,0.3149015720206521
1.96,0.31309797465608213
1.97,0.31130552097773495
1.98,0.30953555429532376
1.99,0.3077761936575246
2.,0.30603928870275693
2.0100000000000002,0.30431247378150666
2.02,0.3026054712171851
2.0300000000000002,0.30091380313870714
2.04,0.2992363317800196
2.05,0.2975795118943746
2.06,0.29593167033981077
2.07,0.2943035306664056
2.08,0.2926935383339224
2.09,0.2911005349695705
2.1,0.28951324381432936
2.11,0.287948080249984
2.12,0.2863994437426324
2.13,0.28485892394692536
2.14,0.28333440875895566
2.15,0.2818261964602976
2.16,0.28033629992308645
2.17,0.2788500730782369
2.18,0.2773849370471195
2.19,0.2759361831613483
2.2,0.27449372661905
2.21,0.27306748806218195
2.22,0.27165732920256047
2.23,0.2702545776796702
2.24,0.26887171961175
2.25,0.26749988239308803
2.2600000000000002,0.26613947179486314
2.27,0.26479565389647436
2.2800000000000002,0.2634583361857208
2.29,0.26214043758389194
2.3000000000000003,0.260833401589945
2.31,0.259536558016452
2.32,0.25825597759214325
2.33,0.25698129175429557
2.34,0.25572579865944417
2.35,0.2544808881686339
2.36,0.2532432808141442
2.37,0.2520187294640909
2.38,0.2508067554189314
2.39,0.24960902538041338
2.4,0.24842245556746115
2.41,0.2472437676550015
2.42,0.2460774867012055
2.43,0.24492335158701764
2.44,0.2437821591011562
2.45,0.2426525111733442
2.46,0.24152951844884618
2.47,0.24041873014599946
2.48,0.23931950963481868
2.49,0.23822969232527896
2.5,0.237152469681421
2.5100000000000002,0.2360875710755951
2.52,0.2350271063225001
2.5300000000000002,0.23397879215887035
2.54,0.2329411854428079
2.5500000000000003,0.23191177897058335
2.56,0.23089387382695475
2.57,0.22988842003235369
2.58,0.22888551300722845
2.59,0.22789471897468686
2.6,0.22691363071096532
2.61,0.22593950717719577
2.62,0.2249760169620336
2.63,0.22402476284973208
2.64,0.22307414921969065
2.65,0.22213576509790026
2.66,0.22120596242721002
2.67,0.22028191934355507
2.68,0.2193676758487596
2.69,0.21846036464303525
2.7,0.21756258938213377
2.71,0.21667195257595126
2.72,0.21578456175907576
2.73,0.214911858314238
2.74,0.21403762186272007
2.75,0.21317636302779225
2.7600000000000002,0.2123195716120573
2.77,0.21146961254861504
2.7800000000000002,0.21062693954936712
2.79,0.2097912195629169
2.8000000000000003,0.20896188329013005
2.81,0.20813868086252657
2.82,0.20732233594101765
2.83,0.2065120819117617
2.84,0.20570779395016225
2.85,0.20490935680231842
2.86,0.20411667378216045
2.87,0.20332965297145394
2.88,0.20254820421714942
2.89,0.2017722394016161
2.9,0.20100167255948137
2.91,0.20023641980446052
2.92,0.19947639930831537
2.93,0.19872153110863255
2.94,0.19797173734870763
2.95,0.19722694192030799
2.96,0.19648707058617426
2.97,0.1957520509727486
2.98,0.1950218123753538
2.99,0.19429628582205383
3.,0.19357540402866275
3.0100000000000002,0.19285910128240408
3.02,0.19214731343538197
3.0300000000000002,0.19143997790682726
3.04,0.1907370335692856
3.0500000000000003,0.19003842070986132
3.06,0.18934408107339815
3.0700000000000003,0.18865395770919885
3.08,0.18796799501520356
3.09,0.18728613867579041
3.1,0.18660833562713938
3.11,0.1859345339894555
3.12,0.1852646830801806
3.13,0.1845987333508325
3.14,0.18393663638539595
3.15,0.18327834483607922
3.16,0.1826238124193319
3.17,0.18197299383455293
3.18,0.18132584480733116
3.19,0.1806823220201655
3.2,0.18004238305972295
3.21,0.17940598644493816
3.22,0.17877309156915258
3.23,0.17814365866433401
3.24,0.17751764880215312
3.25,0.17689502385575287
3.2600000000000002,0.17627574645990426
3.27,0.17565978001753127
3.2800000000000002,0.17504708866480417
3.29,0.1744376372346121
3.3000000000000003,0.17383139126508448
3.31,0.1732283169708132
3.3200000000000003,0.17262838120118434
3.33,0.1720315514585103
3.34,0.1714377958667281
3.35,0.17084708313719338
3.36,0.17025938187612635
3.37,0.1696746636638722
3.38,0.16909289828692903
3.39,0.1685140560988854
3.4,0.16793810899433897
3.41,0.16736502766990652
3.42,0.16679478684200885
3.43,0.16622735864908755
3.44,0.16566271639217786
3.45,0.16510083402288778
3.46,0.1645416859244215
3.47,0.1639852468919979
3.48,0.16343149168012183
3.49,0.1628803973367331
3.5,0.1623319395264471
3.5100000000000002,0.16178609106685768
3.52,0.16124283325043562
3.5300000000000002,0.16070214169774724
3.54,0.16016399362696132
3.5500000000000003,0.15962836878880612
3.56,0.1590952405613739
3.5700000000000003,0.15856459177650029
3.58,0.15803640011387102
3.59,0.15751064462282865
3.6,0.1569873047970312
3.61,0.15646636043612888
3.62,0.15594779162492628
3.63,0.15543157874163924
3.64,0.15491770245699818
3.65,0.15440614372877126
3.66,0.15389688379579453
3.67,0.15338990417177328
3.68,0.1528851853678191
3.69,0.1523827136474216
3.7,0.1518824708874623
3.71,0.15138442664348778
3.72,0.15088857921452492
3.73,0.15039490807799896
3.74,0.14990339493390345
3.75,0.1494140232347765
3.7600000000000002,0.14892677671694893
3.77,0.1484416392967908
3.7800000000000002,0.1479585950859124
3.79,0.147477628400772
3.8000000000000003,0.14699872376132816
3.81,0.1465218658879672
3.8200000000000003,0.14604703969899174
3.83,0.14557423030832567
3.84,0.1451034230232685
3.85,0.14463460334227404
3.86,0.1441677569527276
3.87,0.14370287037825166
3.88,0.14323993208803554
3.89,0.14277891662811093
3.9,0.1423198206105146
3.91,0.14186263430517884
3.92,0.1414073389332734
3.93,0.14095392075293198
3.94,0.14050236741157066
3.95,0.14005266647984813
3.96,0.13960480548593204
3.97,0.13915877203116483
3.98,0.13871455383777492
3.99,0.13827213876416752
4.,0.13783151480863312
4.01,0.13739267010823944
4.0200000000000005,0.13695559293567622
4.03,0.13652027169561812
4.04,0.1360866949213465
4.05,0.13565485127189578
4.0600000000000005,0.13522472952974432
4.07,0.13479631859900787
4.08,0.13436960750404484
4.09,0.13394458538839393
4.1,0.13352124151396857
4.11,0.13309956526041997
4.12,0.13267954612460706
4.13,0.13226117372010585
4.14,0.13184442943539734
4.15,0.1314293085260896
4.16,0.13101581417844793
4.17,0.1306039268532576
4.18,0.1301936362953236
4.19,0.12978493257838292
4.2,0.12937780609804334
4.21,0.12897224734598017
4.22,0.12856824694376973
4.23,0.12816579561965696
4.24,0.12776488417191179
4.25,0.127365503552109
4.26,0.1269676447397765
4.2700000000000005,0.1265712988659835
4.28,0.12617645711162714
4.29,0.12578311077056734
4.3,0.12539125120432784
4.3100000000000005,0.1250008698653181
4.32,0.1246119582890907
4.33,0.12422450808344851
4.34,0.12383851094393776
4.3500000000000005,0.1234539586321533
4.36,0.12307084299360413
4.37,0.12268915593590832
4.38,0.12230888946386005
4.39,0.12193003562205282
4.4,0.12155258656900904
4.41,0.12117653449575252
4.42,0.12080187171514076
4.43,0.12042859053977194
4.44,0.12005668346813332
4.45,0.11968614291118095
4.46,0.11931696156990212
4.47,0.11894913198160122
4.48,0.11858264691526446
4.49,0.11821749919941858
4.5,0.11785368139565651
4.51,0.11749118683341349
4.5200000000000005,0.11713000865391547
4.53,0.11677013949830767
4.54,0.11641157274935551
4.55,0.11605430155128454
4.5600000000000005,0.11569831909924645
4.57,0.11534361883334204
4.58,0.11499019408551402
4.59,0.11463803822415751
4.6000000000000005,0.11428714492836178
4.61,0.1139375075805212
4.62,0.1135891195693044
4.63,0.11324197497588251
4.64,0.11289606746214126
4.65,0.11255139068012503
4.66,0.11220793843607911
4.67,0.11186570429930785
4.68,0.11152468245919045
4.69,0.11118486678573253
4.7,0.110846251272546
4.71,0.11050883008936571
4.72,0.11017259716560819
4.73,0.10983754665813533
4.74,0.10950367238399587
4.75,0.10917096892714938
4.76,0.10883943045879324
4.7700000000000005,0.10850905143992551
4.78,0.10817982606711092
4.79,0.10785174878365954
4.8,0.1075248136469974
4.8100000000000005,0.10719901558715317
4.82,0.1068743490401326
4.83,0.10655080874413435
4.84,0.10622838917605028
4.8500000000000005,0.10590708506746743
4.86,0.10558689071826408
4.87,0.10526780140025585
4.88,0.10494981196888699
4.89,0.10463291708883386
4.9,0.10431711177285959
4.91,0.10400239038672758
4.92,0.1036887485754873
4.93,0.10337618135304517
4.94,0.10306468354127486
4.95,0.10275425038751969
4.96,0.10244487636558258
4.97,0.10213655739280435
4.98,0.10182928864272996
4.99,0.1015230650763724
5.,0.10121788195801101
