t,Lmu
0.,0.9999999320428085
0.01,0.9988718574867016
0.02,0.9977731859867689
0.03,0.996674917599854
0.04,0.9955766788945702
0.05,0.9944784242491715
0.06,0.9933808085536343
0.07,0.9922833604771406
0.08,0.9911859574164792
0.09,0.9900885964424806
0.1,0.9889912776982396
0.11,0.9878940017978759
0.12,0.9867967688964974
0.13,0.9856995791716765
0.14,0.984602433203293
0.15,0.9835053314573605
0.16,0.9824082744059688
0.17,0.9813112625950754
0.18,0.9802142964528349
0.19,0.9791173765623011
0.2,0.9780205033895147
0.21,0.9769236774655415
0.22,0.9758268993291247
0.23,0.9747301694827858
0.24,0.973633488503272
0.25,0.9725368569000464
0.26,0.9714402752398958
0.27,0.9703437440807355
0.28,0.9692472639738394
0.29,0.9681508355029966
0.3,0.9670544592378016
0.31,0.9659581357514382
0.32,0.9648618656526751
0.33,0.9637656495132509
0.34,0.9626694879521591
0.35000000000000003,0.9615733815729289
0.36,0.9604773309787583
0.37,0.9593813368221252
0.38,0.9582853996979325
0.39,0.9571895202672324
0.4,0.9560936991631567
0.41000000000000003,0.9549979370230727
0.42,0.9539022345404923
0.43,0.9528065923318518
0.44,0.9517110111095192
0.45,0.950615491531507
0.46,0.9495200342869509
0.47000000000000003,0.9484246400844291
0.48,0.9473293095904656
0.49,0.9462340435721929
0.5,0.9451388426887615
0.51,0.9440437076907354
0.52,0.9429486393222438
0.53,0.9418536382963124
0.54,0.9407587053812579
0.55,0.9396638413396762
0.56,0.9385690468957844
0.5700000000000001,0.9374743228936903
0.58,0.9363796700505566
0.59,0.9352850891894371
0.6,0.9341905811032123
0.61,0.9330961465884573
0.62,0.9320017864752257
0.63,0.9309075015774688
0.64,0.9298132927268522
0.65,0.9287191607833273
0.66,0.9276251065778317
0.67,0.9265311309814542
0.68,0.9254372348489108
0.6900000000000001,0.9243434190794357
0.7000000000000001,0.9232496845429109
0.71,0.9221560321032773
0.72,0.9210624628334902
0.73,0.9199689772775306
0.74,0.9188755767803152
0.75,0.9177822623447248
0.76,0.9166890340676214
0.77,0.915595894181968
0.78,0.9145028423622225
0.79,0.9134098798857235
0.8,0.9123170078883716
0.81,0.9112242279804478
0.8200000000000001,0.9101315409817023
0.8300000000000001,0.9090389477526158
0.84,0.9079464481364389
0.85,0.9068540447280675
0.86,0.9057617376620126
0.87,0.9046695284825174
0.88,0.9035774190267867
0.89,0.9024854097453378
0.9,0.9013935000069749
0.91,0.9003016930405782
0.92,0.8992099897883599
0.93,0.8981183902615152
0.9400000000000001,0.8970268969824958
0.9500000000000001,0.895935509059493
0.96,0.8948442311420889
0.97,0.893753059798629
0.98,0.8926619983962102
0.99,0.8915710498115622
1.,0.8904802131782591
1.01,0.8893894897821708
1.02,0.8882988811192284
1.03,0.8872083888388776
1.04,0.8861180142236429
1.05,0.8850277577086946
1.06,0.8839376221744913
1.07,0.8828476060452365
1.08,0.8817577136939813
1.09,0.8806679442501317
1.1,0.8795782991913298
1.11,0.8784887810206844
1.12,0.8773993918065889
1.1300000000000001,0.8763101306431239
1.1400000000000001,0.8752209994687656
1.1500000000000001,0.8741319999557097
1.16,0.8730431342387476
1.17,0.8719544031631005
1.18,0.870865806962668
1.19,0.8697773517446845
1.2,0.868689031940291
1.21,0.8676008514205958
1.22,0.866512814069495
1.23,0.8654249201924664
1.24,0.8643371708642477
1.25,0.8632495670231228
1.26,0.8621621134642029
1.27,0.8610748066855245
1.28,0.859987649414791
1.29,0.8589006456261898
1.3,0.8578137966027852
1.31,0.8567271017368128
1.32,0.8556405638378688
1.33,0.8545541868712605
1.34,0.8534679671628985
1.35,0.8523819111090108
1.36,0.8512960173970228
1.37,0.8502102887321812
1.3800000000000001,0.8491247287623364
1.3900000000000001,0.8480393354769074
1.4000000000000001,0.8469541126336314
1.41,0.8458690647201955
1.42,0.8447841883566752
1.43,0.8436994844740364
1.44,0.8426149611196457
1.45,0.8415306183074474
1.46,0.8404464513027157
1.47,0.8393624689879602
1.48,0.8382786730562835
1.49,0.8371950605986629
1.5,0.836111636665335
1.51,0.835028403645964
1.52,0.8339453623147611
1.53,0.8328625138243592
1.54,0.831779861296393
1.55,0.8306974083690999
1.56,0.8296151480071758
1.57,0.8285330934619022
1.58,0.8274512468853258
1.59,0.826369597125442
1.6,0.8252881581804291
1.61,0.8242069315680194
1.62,0.8231259120072645
1.6300000000000001,0.8220451068027771
1.6400000000000001,0.8209645185668725
1.6500000000000001,0.8198841475443907
1.6600000000000001,0.8188039943929177
1.67,0.8177240646685926
1.68,0.8166443617536895
1.69,0.8155648723017446
1.7,0.8144856209197033
1.71,0.813406607115972
1.72,0.8123278069248474
1.73,0.8112492529949211
1.74,0.8101709408101478
1.75,0.8090928552007369
1.76,0.8080150167967561
1.77,0.8069374254475653
1.78,0.8058600745472279
1.79,0.8047829730376529
1.8,0.80370612383297
1.81,0.8026295259192798
1.82,0.8015531829920051
1.83,0.8004770989015895
1.84,0.799401276527917
1.85,0.7983257045603085
1.86,0.79725040647963
1.87,0.7961753903118453
1.8800000000000001,0.7951006017982303
1.8900000000000001,0.7940261267506302
1.9000000000000001,0.7929519267171669
