s,g(s)
0.,0.07077869332998304
0.01,0.07086150361162186
0.02,0.07111133925755822
0.03,0.07153243237834261
0.04,0.07213199683207085
0.05,0.07292043054162639
0.06,0.07391170301516956
0.07,0.0751238387690297
0.08,0.07657968245881426
0.09,0.07830784324384783
0.1,0.08034408692788207
0.11,0.08273305408910343
0.12,0.0855307118596677
0.13,0.08880723277748848
0.14,0.09265076057326531
0.15,0.09717196248703838
0.16,0.10251120036443129
0.17,0.1088478729538243
0.18,0.1164113372433978
0.19,0.1254829070492454
0.2,0.1363575638956872
0.21,0.14915255406299774
0.22,0.16319282067472993
0.23,0.17583448534762505
0.24,0.18243910511103165
0.25,0.18082225231254384
0.26,0.17431146778270667
0.27,0.1669647173577202
0.28,0.16029591660193415
0.29,0.15431968508840008
0.3,0.1487476299653903
0.31,0.1433716416127603
0.32,0.13808813653863114
0.33,0.13285616932637406
0.34,0.12766552517242816
0.35000000000000003,0.12251884626217668
0.36,0.11742375117356348
0.37,0.11238939265203225
0.38,0.1074251473334502
0.39,0.10254010517072162
0.4,0.09774287496484735
0.41000000000000003,0.09304151165246821
0.42,0.08844347151223349
0.43,0.08395559402021828
0.44,0.07958407577930511
0.45,0.07533446182278826
0.46,0.07121162648458532
0.47000000000000003,0.06721977229450336
0.48,0.06336241931659439
0.49,0.059642413348914056
0.5,0.0560619254270818
0.51,0.05262247012840799
0.52,0.049324915783823045
0.53,0.04616951248630659
0.54,0.043155912424476445
0.55,0.040283206186860245
0.56,0.03754995171240381
0.5700000000000001,0.03495421675645047
0.58,0.032493614329324606
0.59,0.030165348775025448
0.6,0.027966255234863832
0.61,0.025892846764497046
0.62,0.023941355306002512
0.63,0.022107777440522156
0.64,0.020387914630671983
0.65,0.01877741560300979
0.66,0.017271814011042205
0.67,0.015866565977360858
0.68,0.014557083820826771
0.6900000000000001,0.01333876785285768
0.7000000000000001,0.012207035291167744
0.71,0.011157345971561223
0.72,0.010185226071100145
0.73,0.009286287697202404
0.74,0.00845624752068331
0.75,0.007690940628442926
0.76,0.0069863343185648736
0.77,0.006338536860493047
0.78,0.005743806944043771
0.79,0.005198558084703895
0.8,0.004699364332505201
0.81,0.004242961104075287
0.8200000000000001,0.0038262477966870155
0.8300000000000001,0.0034462858079083503
0.84,0.0031002986846829436
0.85,0.0027856680399626337
0.86,0.002499931812763146
0.87,0.0022407787022471
0.88,0.002006045055239533
0.89,0.001793708341283409
0.9,0.0016018831047891807
0.91,0.0014288139113774396
0.92,0.0012728707247698786
0.93,0.0011325416646645145
0.9400000000000001,0.0010064280958658133
0.9500000000000001,0.0008932374582818753
0.96,0.0007917782915265329
0.97,0.0007009533269963956
0.98,0.000619754614465485
0.99,0.000547257014804879
1.,0.000482613534045497
