S, x, y, nx, ny, theta, m
0.,0.,2.5930174553890426,-38.61789342699573,0.,0.,-8.657391278988843
0.0008333333333333334,0.004999017523166823,2.592909232488926,-38.41988886384327,0.012851684997342265,-0.04328506210943333,-8.653257988723166
0.0016666666666666668,0.009988673887732603,2.592584888772133,-38.21794311622745,0.026393564128357503,-0.0865289103903713,-8.640930631790942
0.0025,0.014959665890500512,2.5920453279865057,-38.01191681083776,0.04057932279347942,-0.12969088284718294,-8.620534977902391
0.0033333333333333335,0.019902792755814407,2.591292063350348,-37.801677360078905,0.05536285455530966,-0.17273100128298544,-8.592221431553487
0.004166666666666667,0.024809008754484867,2.590327188677021,-37.58709948773785,0.07069844578557549,-0.2156100961019408,-8.556163448575928
0.005,0.029669470148387368,2.5891533564163707,-37.36806586418953,0.08654091480854426,-0.2582899136255019,-8.51255625878635
0.005833333333333334,0.03447558876269147,2.5877737671820236,-37.14446804035198,0.10284577297144759,-0.30073325422563085,-8.461616008266281
0.006666666666666667,0.03921904880824368,2.5861921216199186,-36.91620645684179,0.11956928236385142,-0.3429039884713129,-8.40357761037201
0.007500000000000001,0.04389189222264943,2.584412616713404,-36.683192222323406,0.13666871711867223,-0.3847672957379753,-8.338693903303977
0.008333333333333333,0.048486503857260145,2.582439873298558,-36.44534648691948,0.15410233433910697,-0.42628958547241413,-8.26723271451761
0.009166666666666667,0.05299566373934457,2.5802789283883145,-36.202601641412265,0.17182954035433007,-0.46743864768689014,-8.189476101631255
0.01,0.05741259189271985,2.577935200629726,-35.9549023719352,0.18981104754235223,-0.5081837775804297,-8.105718506842418
0.010833333333333334,0.061730930829695246,2.575414419978307,-35.70220507060071,0.20800884196396932,-0.5484956963277255,-8.016263922202796
0.011666666666666667,0.06594478522585152,2.572722608148831,-35.44447889830182,0.2263863235379786,-0.588346671756164,-7.921424708780999
0.0125,0.07004875219545209,2.5698660403414677,-35.18170668879744,0.2449084302482049,-0.6277106124024037,-7.821519684844354
0.013333333333333334,0.07403788957722304,2.566851184526527,-34.9138841609395,0.2635415670570101,-0.6665629599179206,-7.716871799265435
0.014166666666666668,0.07790776519562116,2.5636846792666947,-34.641021324524424,0.28225378518464256,-0.704880846197946,-7.607806741363341
0.015000000000000001,0.08165441773993296,2.560373277326679,-34.363141696375635,0.3010147028049525,-0.7426429827307003,-7.4946508273906325
0.015833333333333335,0.08527437119219848,2.5569238178588245,-34.08028272233341,0.3197955688492696,-0.7798297032908109,-7.377729680781654
0.016666666666666666,0.08876465277593587,2.5533431832983915,-33.79249662468434,0.33856938098288974,-0.8164230509199278,-7.25736616214457
0.0175,0.0921227148803283,2.5496382675095384,-33.49984817472069,0.35731063274737984,-0.8524065142186463,-7.13387971184742
0.018333333333333333,0.09534653174709573,2.545815933932445,-33.20241785114935,0.3759957195878892,-0.8877653914041527,-7.007583597173173
0.01916666666666667,0.09843444210295471,2.5418830021853336,-32.900297188769336,0.3946023879005259,-0.9224862518288341,-6.878785789445623
0.02,0.10138530136698201,2.5378461883464296,-32.5935936133778,0.41311036827227043,-0.9565575062240012,-6.747784907485944
0.020833333333333336,0.10419827748007433,2.533712124537236,-32.282424234512185,0.43150061990607685,-0.9899686924824241,-6.614872975223633
0.021666666666666667,0.10687302342562406,2.5294872747994606,-31.966921303503796,0.4497560762851924,-1.022711137213539,-6.4803301000609075
0.022500000000000003,0.10940945966377771,2.5251779911269034,-31.647225438649656,0.46786079121188695,-1.0547771705740607,-6.344428963926253
0.023333333333333334,0.11180796871556724,2.5207903906020244,-31.323491707152698,0.4858008334022273,-1.0861609037878552,-6.207427585445208
0.02416666666666667,0.11406912452054677,2.5163304778051945,-30.995881162453017,0.5035631306637568,-1.1168571989604088,-6.069577240816868
0.025,0.1161939276710094,2.5118039705894795,-30.66456789565498,0.5211366117769468,-1.146862646760337,-5.931112587956732
0.025833333333333337,0.11818354618894474,2.5072164572030395,-30.329731059815145,0.538511024649817,-1.1761745364358263,-5.792261009130729
0.02666666666666667,0.12003949185041077,2.5025732233787314,-29.991559860560024,0.5556778687576874,-1.2047916312641338,-5.6532333693719465
0.0275,0.12176344512368849,2.4978793893403477,-29.650248217903734,0.5726295481426344,-1.2327134473298962,-5.5142316764942105
0.028333333333333335,0.12335733591802958,2.4931397951180174,-29.305996590358866,0.5893598718485074,-1.2599406518031473,-5.375443314287762
0.029166666666666667,0.12482326677249134,2.4883590662601485,-28.959009616620698,0.6058636725451491,-1.2864747408931845,-5.2370446534190656
0.030000000000000002,0.12616350698725984,2.4835415891474053,-28.60949544086046,0.622136842280215,-1.312318054284663,-5.099200056257017
0.030833333333333334,0.127380491312279,2.478691488143417,-28.257665141542038,0.638176384163925,-1.337473805522792,-4.962060915405216
0.03166666666666667,0.12847675867811054,2.4738126949967687,-27.90373108905875,0.6539800634945128,-1.3619457963038017,-4.8257692826172525
0.0325,0.129454992820642,2.4689088428847628,-27.547906632746024,0.6695467804654901,-1.3857386923138826,-4.690452929409094
0.03333333333333333,0.13031793952678844,2.4639834132879637,-27.19040499013782,0.6848759770439345,-1.4088575634349176,-4.556232505987816
0.03416666666666667,0.13106845743031015,2.459039571842097,-26.831437977586933,0.6999681768882423,-1.4313082736636191,-4.423214050815677
0.035,0.13170943926620177,2.4540803762563144,-26.47121670274175,0.7148242596824258,-1.4530969448182522,-4.2914986597080365
0.035833333333333335,0.13224386058779788,2.4491085287180354,-26.109947694584744,0.729446193471929,-1.4742304621369715,-4.161171574048997
