S, x, y, nx, ny, theta, m
0.4416666666666667,0.17957599844032815,0.11857072689559822,-5.542002057159208,4.200439307827889,-0.7508889420147737,2.3457135343805096
0.4425,0.18325207804304772,0.11518014043258033,-5.5435133272504,4.201407573059501,-0.7391494993551276,2.349063803635902
0.44333333333333336,0.1869677485039758,0.11183298459744656,-5.544975768882925,4.2023578710548755,-0.7273943094579794,2.3520084460023982
0.4441666666666667,0.1907225242021555,0.10852975776992974,-5.546387546444623,4.203291494830641,-0.7156254121042448,2.3545464292170792
0.445,0.19451591880647906,0.10527095701192994,-5.547746834230799,4.20420973602112,-0.7038448469575299,2.356676731627797
0.44583333333333336,0.1983474459858396,0.10205707938534667,-5.5490518065367604,4.205113886260641,-0.6920546536814388,2.358398331582402
0.4466666666666667,0.20221661924874806,0.09888862195229323,-5.5503006376486,4.206005237868186,-0.6802568720870229,2.3597102079608807
0.4475,0.2061229306876351,0.09576606443949229,-5.551491631262402,4.206885110593688,-0.6684535514856825,2.3606115195287236
0.44833333333333336,0.21006583150101654,0.09268983852560585,-5.552623450632791,4.207754821483107,-0.6566467505599459,2.361101862217746
0.4491666666666667,0.21404476847582649,0.08966036787213787,-5.5536948191237245,4.208615676846925,-0.6448385273405454,2.361180896881584
0.45,0.21805918839899896,0.08667807614059232,-5.554704460099154,4.2094689829956256,-0.6330309398582135,2.3608482843738727
0.45083333333333336,0.22210853805746886,0.08374338699247254,-5.555651096923039,4.210316046239692,-0.6212260461436804,2.360103685548248
0.4516666666666667,0.22619225764977213,0.0808567178370446,-5.556533499959847,4.211158178759718,-0.6094259065867251,2.3589468222742753
0.4525,0.23030975155454694,0.07801843408934073,-5.557350830617687,4.211996648435893,-0.5976325836958856,2.3573778610445286
0.45333333333333337,0.2344604128318476,0.07522887576787758,-5.5581024413688995,4.2128326711861535,-0.5858481353159013,2.355397165078845
0.4541666666666667,0.23864363457694246,0.07248838273384976,-5.558787685870413,4.213667462089519,-0.5740746191654592,2.353005098467072
0.455,0.2428588098850998,0.06979729484845182,-5.559405917779159,4.2145022362250115,-0.5623140929632462,2.3502020252990574
0.45583333333333337,0.24710533114123967,0.0671559524002834,-5.559956487546448,4.215338214687074,-0.5505686153486284,2.3469883093315564
0.4566666666666667,0.2513825716623406,0.06456466422071755,-5.560438983237286,4.216176578979426,-0.538840243677895,2.343364574381614
0.4575,0.25568988421770983,0.06202367614912435,-5.560853468314907,4.217018331682863,-0.5271310163066095,2.339331906809528
0.45833333333333337,0.2600266205741867,0.05953322800672264,-5.561200051638696,4.217864452856402,-0.5154429688799876,2.3348914339949434
0.4591666666666667,0.2643921324986099,0.057093559614731754,-5.561478842068041,4.218715922559065,-0.5037781370432477,2.3300442833175077
0.46,0.26878577175781787,0.05470491079437106,-5.561689948462327,4.21957372084987,-0.4921385564416078,2.3247915821568674
