s,g(s)
0.,0.08997219348489192
0.01,0.08982072381832751
0.02,0.08936685839042861
0.03,0.08861258487756632
0.04,0.08756117067075411
0.05,0.08621719110845781
0.06,0.08458648164987007
0.07,0.0826759982223078
0.08,0.08049353462074262
0.09,0.0780472771569049
0.1,0.07534532920176262
0.11,0.07239570773754796
0.12,0.06920769838639002
0.13,0.06579463277319517
0.14,0.06217505299194076
0.15,0.05836858453031347
0.16,0.054390337474910906
0.17,0.05025103300638661
0.18,0.04596163237774919
0.19,0.04153680387658258
0.2,0.03699524657968732
0.21,0.03235688247234041
0.22,0.027641537553293002
0.23,0.022868778335554507
0.24,0.018057300292951
0.25,0.013227693139322304
0.26,0.008402473234570381
0.27,0.0036026890153959545
0.28,-0.0011454552145006177
0.29,-0.005813600914178678
0.3,-0.010371581558434689
0.31,-0.01478340009137614
0.32,-0.019009770140379353
0.33,-0.023004064738982744
0.34,-0.026710465026296776
0.35000000000000003,-0.03006538872105245
0.36,-0.03299040762697746
0.37,-0.035389797997445877
0.38,-0.037145916687227665
0.39,-0.03810981558073792
0.4,-0.038087327556725205
0.41000000000000003,-0.036826243728271424
0.42,-0.03398956900073275
0.43,-0.029123347638436225
0.44,-0.021609027912739786
0.45,-0.010599429465044097
0.46,0.00507148216623911
0.47000000000000003,0.027012775934184916
0.48,0.05744580456641095
0.49,0.09943232902674166
0.5,0.15716779812918433
0.51,0.23631403131538073
0.52,0.3442331563001935
0.53,0.489636603353419
0.54,0.6802270671444277
0.55,0.9150164675350928
0.56,1.1673286782508636
0.5700000000000001,1.3682581101652687
0.58,1.4376962290086195
0.59,1.3719398875677655
0.6,1.249053843528543
0.61,1.1345398952053631
0.62,1.0452345259747544
0.63,0.9745558182106224
0.64,0.9136511708520335
0.65,0.8571336037012991
0.66,0.802597898868386
0.67,0.7492562296474939
0.68,0.6970308727782123
0.6900000000000001,0.6461059074993998
0.7000000000000001,0.5967356786623582
0.71,0.5491697524491995
0.72,0.5036252472031414
0.73,0.46027750736644146
0.74,0.41925800239083916
0.75,0.38065537496520013
0.76,0.3445181063203467
0.77,0.3108581334980694
0.78,0.27965504324977086
0.79,0.2508605728611753
0.8,0.2244032007355093
0.81,0.20019264950898175
0.8200000000000001,0.17812416208512025
0.8300000000000001,0.1580824474818851
0.84,0.13994522751566743
0.85,0.12358634573944369
0.86,0.10887842565259247
0.87,0.09569508567565539
0.88,0.08391273370415753
0.89,0.07341197468152098
0.9,0.06407867116058703
0.91,0.05580469993693239
0.92,0.04848844836905053
0.93,0.04203509252218197
0.9400000000000001,0.03635669646120027
0.9500000000000001,0.031372168423081735
0.96,0.0270071054635768
0.97,0.023193554041720597
0.98,0.01986970985009847
0.99,0.01697957638567452
1.,0.014472598286168046
