s,g(s)
0.,1.1324590932797287
0.01,1.1337840577859497
0.02,1.1377814281209315
0.03,1.1445189180534818
0.04,1.1541119493131335
0.05,1.1667268886660223
0.06,1.1825872482427129
0.07,1.2019814203044752
0.08,1.2252749193410282
0.09,1.2529254919015653
0.1,1.2855053908461131
0.11,1.323728865425655
0.12,1.368491389754683
0.13,1.4209157244398156
0.14,1.482412169172245
0.15,1.5547513997926141
0.16,1.6401792058309006
0.17,1.7415659672611887
0.18,1.8625813958943649
0.19,2.0077265127879262
0.2,2.1817210223309953
0.21,2.386440865007964
0.22,2.611085130795679
0.23,2.813351765562001
0.24,2.9190256817765063
0.25,2.8931560370007015
0.26,2.788983484523307
0.27,2.671435477723523
0.28,2.5647346656309464
0.29,2.4691149614144012
0.3,2.3799620794462446
0.31,2.293946265804165
0.32,2.2094101846180982
0.33,2.125698709221985
0.34,2.0426484027588505
0.35000000000000003,1.960301540194827
0.36,1.8787800187770156
0.37,1.798230282432516
0.38,1.7188023573352031
0.39,1.640641682731546
0.4,1.5638859994375576
0.41000000000000003,1.4886641864394914
0.42,1.4150955441957358
0.43,1.3432895043234925
0.44,1.2733452124688818
0.45,1.2053513891646122
0.46,1.139386023753365
0.47000000000000003,1.0755163567120538
0.48,1.0137987090655103
0.49,0.9542786135826249
0.5,0.8969908068333088
0.51,0.8419595220545278
0.52,0.7891986525411687
0.53,0.7387121997809054
0.54,0.6904945987916231
0.55,0.6445312989897639
0.56,0.6007992273984609
0.5700000000000001,0.5592674681032075
0.58,0.5198978292691937
0.59,0.48264558040040717
0.6,0.4474600837578213
0.61,0.41428554823195274
0.62,0.3830616848960402
0.63,0.3537244390483545
0.64,0.32620663409075173
0.65,0.30043864964815664
0.66,0.2763490241766753
0.67,0.25386505563777373
0.68,0.23291334113322834
0.6900000000000001,0.21342028564572288
0.7000000000000001,0.1953125646586839
0.71,0.17851753554497957
0.72,0.16296361713760232
0.73,0.14858060315523847
0.74,0.13529996033093297
0.75,0.12305505005508681
0.76,0.11178134909703798
0.77,0.10141658976788875
0.78,0.09190091110470033
0.79,0.08317692935526232
0.8,0.07518982932008321
0.81,0.0678873776652046
0.8200000000000001,0.06121996474699225
0.8300000000000001,0.055140572926533606
0.84,0.0496047789549271
0.85,0.04457068863940214
0.86,0.03999890900421033
0.87,0.0358524592359536
0.88,0.03209672088383253
0.89,0.028699333460534545
0.9,0.02563012967662689
0.91,0.022861022582039033
0.92,0.020365931596318058
0.93,0.018120666634632233
0.9400000000000001,0.016102849533853013
0.9500000000000001,0.014291799332510005
0.96,0.012668452664424526
0.97,0.01121525323194233
0.98,0.00991607383144776
0.99,0.008756112236878064
1.,0.007721816544727952
